name,assists,bonus,bps,creativity,element,fixture,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,round,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,position,season
Leonardo_Ulloa,0,0,2,0.1,185,4,0,0.0,0.0,2016-08-13T11:30:00Z,8,7,1,9918,1.0,2.0,0.0,1,0,0,0,60,False,0,1,FWD,2016-17
Jamie_Vardy,0,0,1,22.5,184,4,0,5.8,3.2,2016-08-13T11:30:00Z,90,7,1,864018,1.0,2.0,32.0,2,0,0,0,100,False,0,1,FWD,2016-17
Jarrod_Bowen,0,0,0,0.0,516,4,0,0.0,0.0,2016-08-13T11:30:00Z,0,8,1,0,1.0,2.0,0.0,0,0,0,0,45,True,0,1,FWD,2016-17
Greg_Luer,0,0,0,0.0,518,4,0,0.0,0.0,2016-08-13T11:30:00Z,0,8,1,0,1.0,2.0,0.0,0,0,0,0,45,True,0,1,FWD,2016-17
Abel_Hernández,1,0,10,12.2,163,4,0,5.7,14.4,2016-08-13T11:30:00Z,90,8,1,26039,1.0,2.0,30.0,5,0,0,0,60,True,0,1,FWD,2016-17
Shinji_Okazaki,0,0,4,2.8,186,4,0,2.3,2.0,2016-08-13T11:30:00Z,23,7,1,73110,1.0,2.0,18.0,1,0,0,0,60,False,0,1,FWD,2016-17
Ahmed_Musa,0,0,9,46.4,187,4,0,5.9,5.0,2016-08-13T11:30:00Z,90,7,1,401655,1.0,2.0,8.0,2,0,0,0,75,False,0,1,FWD,2016-17
Adama_Diomande,0,2,29,16.8,164,4,1,10.7,45.2,2016-08-13T11:30:00Z,90,8,1,38151,1.0,2.0,45.0,8,0,0,0,45,True,0,1,FWD,2016-17
Jose Luis_Mato Sanmartín,0,0,0,0.0,338,6,0,0.0,0.0,2016-08-13T14:00:00Z,0,12,1,7299,1.0,1.0,0.0,0,0,0,0,55,False,0,1,FWD,2016-17
Keshi_Anderson,0,0,0,0.0,509,2,0,0.0,0.0,2016-08-13T14:00:00Z,0,19,1,0,1.0,0.0,0.0,0,0,0,0,45,True,0,1,FWD,2016-17
Jordan_Rhodes,0,0,0,0.0,292,6,0,0.0,0.0,2016-08-13T14:00:00Z,0,14,1,41746,1.0,1.0,0.0,0,0,0,0,60,True,0,1,FWD,2016-17
Vincent_Janssen,0,0,-4,14.8,405,3,0,5.7,3.2,2016-08-13T14:00:00Z,35,6,1,71756,1.0,1.0,39.0,1,0,0,0,80,False,0,1,FWD,2016-17
Jerome_Sinclair,0,0,0,0.0,428,7,0,0.0,0.0,2016-08-13T14:00:00Z,0,13,1,14761,1.0,1.0,0.0,0,0,0,0,50,False,0,1,FWD,2016-17
Rouwen_Hennings,0,0,0,0.0,71,1,0,0.0,0.0,2016-08-13T14:00:00Z,0,16,1,4419,1.0,0.0,0.0,0,0,0,0,45,True,0,1,FWD,2016-17
Romelu_Lukaku,0,0,0,0.0,143,3,0,0.0,0.0,2016-08-13T14:00:00Z,0,17,1,266716,1.0,1.0,0.0,0,0,0,0,90,True,0,1,FWD,2016-17
Rickie_Lambert,0,0,0,0.0,447,2,0,0.0,0.0,2016-08-13T14:00:00Z,0,5,1,8089,1.0,0.0,0.0,0,0,0,0,55,False,0,1,FWD,2016-17
Peter_Crouch,0,0,0,0.0,336,6,0,0.0,0.0,2016-08-13T14:00:00Z,0,12,1,27568,1.0,1.0,0.0,0,0,0,0,50,False,0,1,FWD,2016-17
Oumar_Niasse,0,0,0,0.0,145,3,0,0.0,0.0,2016-08-13T14:00:00Z,0,17,1,1866,1.0,1.0,0.0,0,0,0,0,60,True,0,1,FWD,2016-17
Saido_Berahino,0,0,-4,2.1,448,2,0,1.4,0.0,2016-08-13T14:00:00Z,85,5,1,41639,1.0,0.0,15.0,2,0,0,0,65,False,0,1,FWD,2016-17
Shane_Long,0,0,1,13.8,313,7,0,2.3,0.0,2016-08-13T14:00:00Z,82,18,1,481848,1.0,1.0,11.0,2,0,0,0,65,True,0,1,FWD,2016-17
Sam_Vokes,0,0,5,17.3,67,1,0,4.7,6.8,2016-08-13T14:00:00Z,90,16,1,16321,1.0,0.0,23.0,2,0,0,0,60,True,0,1,FWD,2016-17
Salomón_Rondón,0,2,30,33.8,449,2,1,16.2,39.0,2016-08-13T14:00:00Z,90,5,1,72960,1.0,0.0,89.0,8,0,0,0,65,False,0,1,FWD,2016-17
Olayinka Fredrick Oladotun_Ladapo,0,0,0,0.0,508,2,0,0.0,0.0,2016-08-13T14:00:00Z,0,19,1,0,1.0,0.0,0.0,0,0,0,0,45,True,0,1,FWD,2016-17
