name,bonus,bps,clean_sheets,element,fixture,goals_conceded,influence,kickoff_time,minutes,opponent_team,penalties_saved,round,saves,selected,team_a_score,team_h_score,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,GW,position,season
Ron-Robert_Zieler,0,0,0,166,4,0,0.0,2016-08-13T11:30:00Z,0,7,0,1,0,9175,1.0,2.0,0,0,0,0,45,False,1,GK,2016-17
Allan_McGregor,0,0,0,146,4,0,0.0,2016-08-13T11:30:00Z,0,8,0,1,0,1141,1.0,2.0,0,0,0,0,45,True,1,GK,2016-17
Eldin_Jakupovic,0,16,0,147,4,1,25.2,2016-08-13T11:30:00Z,90,8,0,1,4,451193,1.0,2.0,3,0,0,0,40,True,1,GK,2016-17
Dusan_Kuciak,0,0,0,517,4,0,0.0,2016-08-13T11:30:00Z,0,8,0,1,0,0,1.0,2.0,0,0,0,0,40,True,1,GK,2016-17
Kasper_Schmeichel,0,14,0,165,4,2,24.6,2016-08-13T11:30:00Z,90,7,0,1,3,448030,1.0,2.0,2,0,0,0,50,False,1,GK,2016-17
Kristoffer_Nordfeldt,0,0,0,357,1,0,0.0,2016-08-13T14:00:00Z,0,3,0,1,0,104267,1.0,0.0,0,0,0,0,40,False,1,GK,2016-17
Julian_Speroni,0,0,0,99,2,0,0.0,2016-08-13T14:00:00Z,0,19,0,1,0,12047,1.0,0.0,0,0,0,0,45,True,1,GK,2016-17
Jakob_Haugaard,0,0,0,317,6,0,0.0,2016-08-13T14:00:00Z,0,12,0,1,0,5878,1.0,1.0,0,0,0,0,45,False,1,GK,2016-17
Jack_Butland,0,0,0,316,6,0,0.0,2016-08-13T14:00:00Z,0,12,0,1,0,172438,1.0,1.0,0,0,0,0,50,False,1,GK,2016-17
Hugo_Lloris,0,10,0,380,3,1,25.2,2016-08-13T14:00:00Z,34,6,0,1,3,276062,1.0,1.0,2,0,0,0,55,False,1,GK,2016-17
Heurelho_Gomes,1,23,0,407,7,1,25.8,2016-08-13T14:00:00Z,90,13,0,1,6,109109,1.0,1.0,4,0,0,0,50,False,1,GK,2016-17
Joel_Robles,0,0,0,123,3,0,0.0,2016-08-13T14:00:00Z,0,17,0,1,0,4480,1.0,1.0,0,0,0,0,50,True,1,GK,2016-17
